embedding_model,segmentation_model,diarization_error_rate,false_alarm,percentage_of_teacher_size
teacher,teacher,38.02486795730184,3.8694395160086783,100.0
teacher,student,37.25865610555424,9.319782228051107,79.61581786921207
student,teacher,56.09332984409035,3.8757938544079837,51.266472650909975
student,student,61.611462697549676,9.345199581648338,30.882290520122048
