,kd_regularization,diarization_error_rate,false_alarm
0,1,46.08859319084965,9.29247607808078
1,5,46.353071840008816,9.755523347775428
2,10,44.294578071722036,9.218120176627309
3,50,44.04816867117813,9.398367169837163
4,100,46.30042070591875,9.825297373402764
5,500,43.56906822653702,8.326707612626516
6,1000,45.23862661122863,10.036423628215655
7,5000,44.950061800961066,11.175557828673444
8,10000,47.15804224437019,9.440998642015893
9,50000,46.85687432407261,9.219375959882035
10,100000,45.52705308364457,8.402435447056872
11,500000,46.181051704223066,10.520364221397204
12,1000000,47.418355401119214,10.24240989733337
